일시,시도,시·군·구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2022-08-23 12:35,경상북도,경산시,기타(쓰레기 화재등),작동기기,기타(작동기기),전기적 요인,기타(전기적요인),"전기,전자","작동장치(모터, 히터, 램프 등)",0,0,0,756,기타,야외,기타야외
2022-08-23 12:52,경기도,부천시,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자","전기, 전자기기 내부배선",0,0,0,1430,"자동차,철도차량",자동차,화물자동차
2022-08-23 13:27,서울특별시,송파구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,14,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당)
2022-08-23 13:35,부산광역시,북구,"건축,구조물",작동기기,전기적 아크(단락),기계적 요인,"과열, 과부하","전기,전자","전기, 전자기기 내부배선",0,0,0,216,"판매,업무시설",일반업무,오피스텔
2022-08-23 13:47,전북특별자치도,김제시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,24031,주거,단독주택,단독주택
2022-08-23 14:25,경상남도,양산시,"건축,구조물",미상,미상,미상,미상,"전기,전자",전선피복,0,0,0,194,산업시설,창고시설,"창고, 물품저장소"
2022-08-23 14:27,서울특별시,동작구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,72,주거,단독주택,다중주택
2022-08-23 14:32,부산광역시,부산진구,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",기타,기타,0,0,0,3667,"의료,복지시설",의료시설,종합병원
2022-08-23 15:00,전북특별자치도,임실군,"건축,구조물",작동기기,기타(작동기기),기계적 요인,역화,가연성가스,기타(가연성가스),0,0,0,13824,산업시설,공장시설,금속기계 및 기구공업
2022-08-23 15:06,충청북도,진천군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,기타,기타,0,0,0,778,"판매,업무시설",판매시설,상점가
2022-08-23 15:09,경기도,하남시,"자동차,철도차량","마찰, 전도, 복사","기타(마찰,전도,복사)",기타,기타,합성수지,기타(합성수지),0,0,0,396,"자동차,철도차량",자동차,승용자동차
2022-08-23 15:14,경상남도,진주시,"자동차,철도차량","마찰, 전도, 복사","마찰열,마찰 스파크",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기",타이어,0,0,0,8965,"자동차,철도차량",자동차,화물자동차
2022-08-23 15:49,서울특별시,강남구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,137,생활서비스,일상서비스,일반상점
2022-08-23 16:15,경기도,군포시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,158,주거,단독주택,다가구주택
2022-08-23 16:31,강원특별자치도,원주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 기판",0,0,0,5611,생활서비스,오락시설,노래연습장
2022-08-23 17:04,경기도,시흥시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,3242,주거,공동주택,아파트
