일시,시도,시_군_구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2023-03-15 16:54,경상남도,거창군,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",위험물등,가솔린,0,0,0,2904,"자동차,철도차량",자동차,승용자동차
2023-03-15 17:07,경기도,부천시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",기타,기타,0,0,0,270,주거,단독주택,단독주택
2023-03-15 17:09,제주특별자치도,제주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),"전기,전자",전선피복,0,0,0,117,"판매,업무시설",일반업무,일반빌딩
2023-03-15 17:16,대전광역시,유성구,"건축,구조물",화학적 발화열,화학반응열,화학적 요인,자연발화,"침구,직물류","기타(침구,직물류)",0,0,0,63,주거,단독주택,다가구주택
2023-03-15 17:25,울산광역시,남구,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,0,0,0,3,주거,공동주택,주상복합아파트
2023-03-15 17:27,울산광역시,북구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,33,기타,야외,쓰레기
2023-03-15 17:30,서울특별시,서초구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,124,생활서비스,음식점,분식(휴게)
2023-03-15 17:50,부산광역시,사하구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,0,주거,공동주택,다세대주택
2023-03-15 17:51,경상북도,예천군,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",잔디,0,0,0,0,기타,야외,기타야외
2023-03-15 18:01,전북특별자치도,고창군,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,기타(부주의),"종이,목재,건초등",건초,0,0,0,44,기타,야외,공터
2023-03-15 18:13,세종특별자치시,세종,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",부주의,"기기(전기, 기계 등) 사용.설치부주의",합성수지,"플라스틱, PVC, 비닐, 장판",2,0,2,1001,"판매,업무시설",일반업무,일반회사
2023-03-15 18:18,경상북도,봉화군,기타(쓰레기 화재등),"담뱃불, 라이터불","기타(담뱃불,라이터불)",부주의,담배꽁초,쓰레기류,기타 쓰레기,0,0,0,267,기타,야외,쓰레기
2023-03-15 18:28,대구광역시,동구,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,809,기타서비스,기타건축물,기타 건축물
2023-03-15 18:35,세종특별자치시,세종,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,음식물 조리중,식품,기타(식품),0,0,0,125,주거,공동주택,아파트
2023-03-15 18:53,경기도,용인시수지구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,101,주거,공동주택,아파트
2023-03-15 18:54,충청남도,태안군,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하","종이,목재,건초등",건초,0,0,0,3150,"자동차,철도차량",농업기계,트랙터
2023-03-15 18:56,제주특별자치도,제주시,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",교통사고,교통사고,"자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)",0,0,0,50600,"자동차,철도차량",자동차,승용자동차
2023-03-15 19:00,경기도,성남시수정구,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",부주의,음식물 조리중,식품,음식물,0,0,0,343,주거,단독주택,다가구주택
2023-03-15 19:07,경기도,부천시,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"침구,직물류","이불(베개,시트)",0,0,0,3,"판매,업무시설",숙박시설,모텔
2023-03-15 19:25,경상남도,창원시 진해구,기타(쓰레기 화재등),작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하","전기,전자",전선피복,0,0,0,220,기타,야외,기타야외
2023-03-15 19:26,충청북도,제천시,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"기기(전기, 기계 등) 사용.설치부주의",합성수지,발포폴리스티렌,0,0,0,310,주거,단독주택,단독주택
2023-03-15 19:27,경상남도,의령군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,1127,주거,단독주택,기타 단독주택
2023-03-15 19:30,대구광역시,달서구,"자동차,철도차량",미상,미상,미상,미상,미상,미상,0,0,0,940,"자동차,철도차량",자동차,승용자동차
2023-03-15 20:09,충청남도,홍성군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,5417,기타서비스,기타건축물,기타 건축물
